median,min,max,overlap,idx
45,44,71,0.99752,1
45,44,64,0.99757,1
45,44,65,0.99572,1
45,44,67,0.99795,1
45,44,67,0.99514,1
45,44,66,0.99449,1
45,44,65,0.99734,1
45,44,65,0.99689,1
45,44,72,0.99706,1
45,44,65,0.9967,1
45,44,67,0.99719,1
45,44,71,0.9979,1
45,44,68,0.99787,1
45,44,65,0.99832,1
45,44,65,0.99498,1
45,44,67,0.99631,1
45,44,71,0.99584,1
45,44,67,0.9973,1
45,44,69,0.99634,1
45,44,67,0.99504,1
45,44,66,0.99705,1
45,44,71,0.99618,1
45,44,67,0.99527,1
45,44,64,0.99698,1
45,44,67,0.99743,1
45,44,67,0.99665,1
45,44,66,0.99589,1
45,44,66,0.99661,1
45,44,74,0.99636,1
45,44,74,0.99648,1
45,44,74,0.99764,1
45,44,65,0.99779,1
45,44,65,0.99663,1
45,44,66,0.99692,1
45,44,70,0.99767,1
45,44,82,0.99662,1
45,44,64,0.99673,1
45,44,72,0.99664,1
45,44,64,0.99766,1
45,44,71,0.99749,1
45,44,64,0.99691,1
45,44,66,0.99788,1
45,44,66,0.9956,1
45,44,72,0.99702,1
45,44,68,0.99556,1
45,44,69,0.99489,1
45,44,65,0.99696,1
45,44,68,0.99709,1
45,44,66,0.99639,1
45,44,69,0.9939,1
45,44,68,0.99691,1
45,44,68,0.99616,1
45,44,64,0.99559,1
45,44,70,0.99456,1
45,44,65,0.99736,1
45,44,65,0.99369,1
45,44,70,0.996,1
45,44,67,0.99303,1
45,44,66,0.99569,1
45,44,66,0.99625,1
45,44,68,0.99617,1
45,44,66,0.99726,1
45,44,68,0.99465,1
45,44,65,0.99652,1
45,44,70,0.99581,1
45,44,65,0.9982,1
45,44,68,0.99679,1
45,44,72,0.99655,1
45,44,70,0.99611,1
45,44,69,0.99618,1
45,44,65,0.99773,1
45,44,67,0.99689,1
45,44,67,0.99623,1
45,44,71,0.99683,1
45,44,68,0.99447,1
45,44,65,0.99615,1
45,44,67,0.99624,1
45,44,68,0.99623,1
